season,team,player,nation,pos,age,born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
2425,Brentford,Mark Flekken,NED,GK,31-155,1993,11.0,569,478,89,39,0,5,0,0,0,0,0,0,438,2,0
2425,Brentford,Mathias Jensen,DEN,MF,28-319,1996,3.9,179,144,35,6,0,2,17,19,7,6,0,0,130,0,2
2425,Brentford,Mikkel Damsgaard,DEN,"MF,FW",24-135,2000,8.8,380,344,34,4,6,2,33,3,14,14,0,0,274,2,8
2425,Brentford,Nathan Collins,IRL,DF,23-199,2001,11.0,645,612,33,24,0,4,2,6,0,0,0,0,547,0,2
2425,Brentford,Ryan Trevitt,ENG,MF,21-248,2003,0.0,7,6,0,0,0,0,0,0,0,0,0,0,4,1,1
2425,Brentford,Sepp van den Berg,NED,DF,22-331,2001,8.1,370,333,37,3,0,0,6,34,0,0,0,0,301,0,2
2425,Brentford,Vitaly Janelt,GER,MF,26-189,1998,10.0,418,402,13,7,2,4,14,6,0,0,0,0,349,3,3
2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-259,2004,1.6,107,106,1,0,1,0,4,1,0,0,0,0,86,0,1
2425,Brentford,Yoane Wissa,COD,FW,28-073,1996,6.3,139,128,11,2,2,0,2,0,1,0,0,0,112,0,2
2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-310,2006,0.2,16,15,1,0,0,0,0,1,0,0,0,0,12,0,1
2425,Brighton,Adam Webster,ENG,DF,29-316,1995,0.9,78,78,0,0,0,0,1,0,0,0,0,0,69,0,2
2425,Brighton,Bart Verbruggen,NED,GK,22-089,2002,9.0,357,315,39,14,0,0,0,0,0,0,0,0,290,3,1
2425,Brighton,Billy Gilmour,SCO,MF,23-157,2001,1.1,67,65,2,1,1,2,1,0,1,1,0,0,58,0,0
2425,Brighton,Brajan Gruda,GER,MF,20-168,2004,0.7,22,19,3,0,0,0,2,0,2,0,2,0,17,0,0
2425,Brighton,Carlos Baleba,CMR,MF,20-317,2004,6.9,303,300,2,2,2,2,1,0,0,0,0,0,270,1,2
2425,Brighton,Danny Welbeck,ENG,FW,33-355,1990,10.3,213,204,9,0,0,0,2,1,0,0,0,0,175,0,7
2425,Brighton,Evan Ferguson,IRL,FW,20-027,2004,1.2,23,23,0,0,0,0,0,0,0,0,0,0,15,0,0
2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-039,1999,4.3,175,157,17,2,1,0,9,15,0,0,0,0,144,1,1
2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-209,2002,6.7,150,143,6,0,7,0,5,0,0,0,0,0,110,1,7
2425,Brighton,Igor,BRA,DF,26-282,1998,5.3,352,321,29,7,0,2,0,1,0,0,0,0,326,2,2
2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-218,2005,9.3,495,430,65,20,0,7,21,30,8,4,1,1,410,0,5
2425,Brighton,Jakub Moder,POL,MF,25-222,1999,0.1,13,13,0,0,0,0,0,0,0,0,0,0,11,0,0
2425,Brighton,James Milner,ENG,MF,38-316,1986,1.9,73,62,11,4,2,0,8,0,6,2,3,0,55,0,1
2425,Brighton,Jan Paul van Hecke,NED,DF,24-160,2000,8.1,639,610,29,27,2,5,3,0,0,0,0,0,588,0,3
2425,Brighton,Jason Steele,ENG,GK,34-089,1990,2.0,112,104,8,6,0,0,0,0,0,0,0,0,101,0,0
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,3.4,115,108,7,1,1,1,4,3,1,0,0,0,85,0,3
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,9.6,476,383,92,17,1,1,11,75,0,0,0,0,378,1,18
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,1.0,58,47,11,3,0,0,13,0,8,3,3,0,39,0,2
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,10.2,357,351,5,0,3,0,32,5,0,0,0,0,265,1,14
2425,Brighton,Lewis Dunk,ENG,DF,32-360,1991,7.8,645,589,56,27,1,3,2,6,0,0,0,0,587,0,3
2425,Brighton,Mats Wieffer,NED,MF,24-365,1999,2.6,178,176,2,2,0,1,1,0,0,0,0,0,148,0,5
2425,Brighton,Matt O'Riley,DEN,MF,23-360,2000,0.4,9,8,1,1,0,0,0,0,0,0,0,0,7,0,0
2425,Brighton,Pervis Estupiñán,ECU,DF,26-299,1998,5.8,370,312,58,5,0,1,37,37,16,9,5,0,306,0,8
2425,Brighton,Simon Adingra,CIV,"FW,MF",22-319,2002,2.3,83,79,3,0,0,0,10,3,0,0,0,0,57,1,3
2425,Brighton,Tariq Lamptey,GHA,DF,24-046,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-116,2004,4.5,130,117,12,4,1,1,28,1,7,4,3,0,79,1,10
