season,team,player,nation,pos,age,born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2425,Chelsea,Noni Madueke,ENG,FW,22-250,2002,8.4,2,0,0,8,9,1,16,3,9,0,0,0,38,5,5,50.0
2425,Chelsea,Pedro Neto,POR,FW,24-251,2000,6.2,4,0,0,6,8,0,31,4,3,0,0,0,19,4,9,30.8
2425,Chelsea,Reece James,ENG,DF,24-343,1999,2.7,0,0,0,1,4,0,15,3,2,0,0,0,12,9,3,75.0
2425,Chelsea,Renato Veiga,POR,"DF,MF",21-109,2003,1.9,2,0,0,3,1,1,0,1,5,0,0,0,8,3,2,60.0
2425,Chelsea,Robert Sánchez,ESP,GK,26-363,1997,11.0,2,0,0,2,1,0,0,0,0,0,2,0,25,2,0,100.0
2425,Chelsea,Roméo Lavia,BEL,MF,20-314,2004,3.7,1,0,0,3,1,0,0,7,5,0,0,0,16,5,0,100.0
2425,Chelsea,Tosin Adarabioyo,ENG,DF,27-052,1997,1.9,1,0,0,2,0,0,0,1,2,0,0,0,7,0,0,
2425,Chelsea,Wesley Fofana,FRA,DF,23-334,2000,9.6,6,0,0,17,12,0,1,12,9,0,0,0,39,21,8,72.4
2425,Crystal Palace,Adam Wharton,ENG,MF,20-166,2004,6.9,0,0,0,5,12,0,16,10,10,0,0,0,51,5,11,31.3
2425,Crystal Palace,Asher Agbinone,ENG,MF,19-048,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
2425,Crystal Palace,Caleb Kporha,ENG,DF,18-123,2006,0.0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,
2425,Crystal Palace,Chadi Riad,MAR,DF,21-151,2003,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3
2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-312,2000,1.5,0,0,0,2,2,0,0,3,3,0,0,0,8,1,3,25.0
