season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
2425,Wolves,Hwang Hee-chan,KOR,"FW,MF",28-294,1996,2.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Wolves,Jean-Ricner Bellegarde,FRA,"MF,FW",26-141,1998,5.3,1,6,2,33.3,1.13,0.38,0.17,0.5,27.0,1,0,0,0.3,0.3,0.05,0.7,0.7
2425,Wolves,José Sá,POR,GK,31-303,1993,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Wolves,João Gomes,BRA,MF,23-277,2001,10.3,1,7,2,28.6,0.68,0.19,0.14,0.5,20.9,0,0,0,0.5,0.5,0.07,0.5,0.5
2425,Wolves,Jørgen Strand Larsen,NOR,FW,24-283,2000,9.9,4,15,11,73.3,1.51,1.11,0.27,0.36,11.8,0,0,0,2.6,2.6,0.17,1.4,1.4
2425,Wolves,Mario Lemina,GAB,MF,31-075,1993,9.8,1,12,4,33.3,1.22,0.41,0.08,0.25,21.9,0,0,0,1.1,1.1,0.09,-0.1,-0.1
2425,Wolves,Matheus Cunha,BRA,"MF,FW",25-172,1999,9.8,5,31,11,35.5,3.15,1.12,0.16,0.45,18.7,1,0,0,2.4,2.4,0.08,2.6,2.6
2425,Wolves,Matt Doherty,IRL,DF,32-304,1992,2.3,0,2,0,0.0,0.85,0.0,0.0,,11.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
2425,Wolves,Nélson Semedo,POR,DF,30-365,1993,8.7,0,5,3,60.0,0.58,0.35,0.0,0.0,22.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
2425,Wolves,Pablo Sarabia,ESP,"MF,FW",32-188,1992,2.0,1,4,4,100.0,1.99,1.99,0.25,0.25,19.1,0,0,0,1.4,1.4,0.36,-0.4,-0.4
2425,Wolves,Rayan Aït-Nouri,ALG,DF,23-162,2001,10.2,3,13,4,30.8,1.27,0.39,0.23,0.75,14.0,0,0,0,1.2,1.2,0.09,1.8,1.8
2425,Wolves,Rodrigo Gomes,POR,"FW,MF",21-131,2003,1.3,0,2,0,0.0,1.51,0.0,0.0,,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
2425,Wolves,Sam Johnstone,ENG,GK,31-235,1993,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
2425,Wolves,Santiago Bueno,URU,DF,26-006,1998,4.9,0,1,1,100.0,0.2,0.2,0.0,0.0,9.0,0,0,0,0.2,0.2,0.21,-0.2,-0.2
2425,Wolves,Tommy Doyle,ENG,MF,23-029,2001,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,26.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
2425,Wolves,Toti Gomes,POR,DF,25-304,1999,8.2,0,1,0,0.0,0.12,0.0,0.0,,35.4,0,0,0,0.0,0.0,0.01,0.0,0.0
2425,Wolves,Yerson Mosquera,COL,DF,23-197,2001,4.9,0,2,0,0.0,0.41,0.0,0.0,,12.4,0,0,0,0.3,0.3,0.17,-0.3,-0.3
