season,team,player,nation,pos,age,born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def
2425,Crystal Palace,Adam Wharton,ENG,MF,20-166,2004,6.9,26,3.77,20,4,0,1,0,1,1,0.14,1,0,0,0,0,0
2425,Crystal Palace,Asher Agbinone,ENG,MF,19-048,2005,0.1,1,15.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Caleb Kporha,ENG,DF,18-123,2006,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Chadi Riad,MAR,DF,21-151,2003,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Cheick Doucouré,MLI,MF,24-312,2000,1.5,2,1.35,1,0,0,1,0,0,1,0.68,0,0,0,1,0,0
2425,Crystal Palace,Chris Richards,USA,DF,24-232,2000,3.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Daichi Kamada,JPN,MF,28-102,1996,6.9,23,3.34,18,3,0,1,0,1,1,0.15,0,1,0,0,0,0
2425,Crystal Palace,Daniel Muñoz,COL,"DF,MF",28-173,1996,10.0,25,2.49,18,2,1,4,0,0,2,0.2,1,0,0,1,0,0
2425,Crystal Palace,Dean Henderson,ENG,GK,27-248,1997,11.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Eberechi Eze,ENG,"MF,FW",26-139,1998,9.0,42,4.67,22,8,3,6,3,0,2,0.22,2,0,0,0,0,0
2425,Crystal Palace,Eddie Nketiah,ENG,"MF,FW",25-169,1999,5.4,16,2.94,9,0,3,1,3,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Ismaila Sarr,SEN,"MF,FW",26-264,1998,5.4,23,4.29,15,0,2,2,4,0,2,0.37,0,0,0,0,2,0
2425,Crystal Palace,Jean-Philippe Mateta,FRA,FW,27-140,1997,8.4,14,1.67,10,0,0,3,1,0,0,0.0,0,0,0,0,0,0
2425,Crystal Palace,Jefferson Lerma,COL,"MF,DF",30-021,1994,4.6,7,1.52,6,0,0,1,0,0,0,0.0,0,0,0,0,0,0
