season,team,player,nation,pos,age,born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP
2425,Brentford,Sepp van den Berg,NED,DF,22-331,2001,8.1,301,370,81.4,4748,1658,157,185,84.9,125,148,84.5,15,27,55.6,0,0.1,0.4,-0.1,2,15,3,1,19
2425,Brentford,Vitaly Janelt,GER,MF,26-189,1998,10.0,349,418,83.5,6258,1882,164,181,90.6,147,168,87.5,34,56,60.7,3,1.5,1.1,1.5,8,34,12,5,35
2425,Brentford,Yehor Yarmoliuk,UKR,MF,20-259,2004,1.6,86,107,80.4,1221,252,52,64,81.3,29,34,85.3,2,4,50.0,0,0.0,0.1,0.0,1,6,1,1,6
2425,Brentford,Yoane Wissa,COD,FW,28-073,1996,6.3,112,139,80.6,1651,370,69,81,85.2,32,40,80.0,8,13,61.5,1,0.3,0.3,0.7,4,10,0,0,10
2425,Brentford,Yunus Emre Konak,TUR,"MF,FW",18-310,2006,0.2,12,16,75.0,201,62,7,8,87.5,3,4,75.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,2
2425,Brighton,Adam Webster,ENG,DF,29-316,1995,0.9,69,78,88.5,1289,639,23,25,92.0,39,42,92.9,5,6,83.3,0,0.0,0.0,0.0,0,9,0,0,10
2425,Brighton,Bart Verbruggen,NED,GK,22-089,2002,9.0,290,357,81.2,6882,4896,92,92,100.0,122,124,98.4,75,136,55.1,0,0.0,0.0,0.0,0,3,0,0,0
2425,Brighton,Billy Gilmour,SCO,MF,23-157,2001,1.1,58,67,86.6,980,346,36,38,94.7,18,22,81.8,4,7,57.1,0,0.0,0.0,0.0,0,12,2,0,11
2425,Brighton,Brajan Gruda,GER,MF,20-168,2004,0.7,17,22,77.3,209,16,10,12,83.3,6,7,85.7,0,2,0.0,0,0.1,0.0,-0.1,2,0,0,0,0
2425,Brighton,Carlos Baleba,CMR,MF,20-317,2004,6.9,270,303,89.1,4454,1139,132,143,92.3,110,121,90.9,24,29,82.8,1,0.5,0.2,0.5,7,28,7,0,37
2425,Brighton,Danny Welbeck,ENG,FW,33-355,1990,10.3,175,213,82.2,2115,406,109,130,83.8,43,51,84.3,4,4,100.0,2,0.5,0.4,1.5,10,10,6,0,23
2425,Brighton,Evan Ferguson,IRL,FW,20-027,2004,1.2,15,23,65.2,169,32,13,16,81.3,1,3,33.3,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",25-039,1999,4.3,144,175,82.3,2372,698,73,82,89.0,61,74,82.4,9,14,64.3,0,0.2,0.3,-0.2,5,10,9,4,15
2425,Brighton,Georginio Rutter,FRA,"FW,MF",22-209,2002,6.7,110,150,73.3,1611,537,66,77,85.7,34,46,73.9,6,8,75.0,2,1.3,0.9,0.7,9,15,10,0,36
2425,Brighton,Igor,BRA,DF,26-282,1998,5.3,326,352,92.6,5980,1887,128,133,96.2,170,177,96.0,26,34,76.5,0,0.0,0.1,0.0,0,19,1,0,20
2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19-218,2005,9.3,410,495,82.8,6127,1488,244,264,92.4,125,150,83.3,30,61,49.2,0,0.3,0.7,-0.3,7,17,4,0,31
2425,Brighton,Jakub Moder,POL,MF,25-222,1999,0.1,11,13,84.6,172,23,5,7,71.4,6,6,100.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,3
2425,Brighton,James Milner,ENG,MF,38-316,1986,1.9,55,73,75.3,899,347,26,28,92.9,23,30,76.7,4,10,40.0,0,0.2,0.2,-0.2,4,3,1,1,10
2425,Brighton,Jan Paul van Hecke,NED,DF,24-160,2000,8.1,588,639,92.0,11729,4593,193,206,93.7,324,336,96.4,68,86,79.1,1,0.4,0.4,0.6,3,57,2,2,67
2425,Brighton,Jason Steele,ENG,GK,34-089,1990,2.0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0,0
2425,Brighton,Jeremy Sarmiento,ECU,MF,22-152,2002,0.1,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
2425,Brighton,João Pedro,BRA,"MF,FW",23-050,2001,3.4,85,115,73.9,1301,375,52,69,75.4,25,32,78.1,6,7,85.7,1,0.7,0.6,0.3,4,6,9,2,16
2425,Brighton,Joël Veltman,NED,DF,32-305,1992,9.6,378,476,79.4,6300,1712,199,222,89.6,141,174,81.0,34,55,61.8,0,0.3,1.1,-0.3,3,28,3,2,33
2425,Brighton,Julio Enciso,PAR,"MF,FW",20-297,2004,1.0,39,58,67.2,604,211,25,28,89.3,8,13,61.5,4,12,33.3,0,0.2,0.2,-0.2,4,5,2,1,5
2425,Brighton,Kaoru Mitoma,JPN,"FW,MF",27-179,1997,10.2,265,357,74.2,3572,814,174,204,85.3,65,95,68.4,14,24,58.3,2,2.7,2.0,-0.7,14,14,14,5,33
2425,Brighton,Lewis Dunk,ENG,DF,32-360,1991,7.8,587,645,91.0,10289,3576,250,258,96.9,284,300,94.7,43,72,59.7,0,0.4,0.3,-0.4,4,54,1,0,56
2425,Brighton,Mats Wieffer,NED,MF,24-365,1999,2.6,148,178,83.1,2404,705,71,78,91.0,68,80,85.0,6,10,60.0,1,0.1,0.1,0.9,4,12,0,0,18
2425,Brighton,Matt O'Riley,DEN,MF,23-360,2000,0.4,7,9,77.8,106,19,3,3,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
2425,Brighton,Pervis Estupiñán,ECU,DF,26-299,1998,5.8,306,370,82.7,4607,1433,182,196,92.9,97,115,84.3,18,41,43.9,0,0.8,0.8,-0.8,7,21,11,6,32
2425,Brighton,Simon Adingra,CIV,"FW,MF",22-319,2002,2.3,57,83,68.7,789,163,39,47,83.0,15,23,65.2,3,6,50.0,1,0.5,0.7,0.5,2,1,2,0,4
2425,Brighton,Tariq Lamptey,GHA,DF,24-046,2000,0.1,4,4,100.0,40,11,2,2,100.0,1,1,100.0,0,0,,1,0.1,0.0,0.9,1,0,0,0,0
2425,Brighton,Yankuba Minteh,GAM,"FW,MF",20-116,2004,4.5,79,130,60.8,1297,452,41,54,75.9,28,41,68.3,7,16,43.8,1,1.5,1.2,-0.5,8,6,8,3,12
2425,Brighton,Yasin Ayari,SWE,MF,21-040,2003,5.5,165,217,76.0,2450,692,93,107,86.9,58,66,87.9,7,25,28.0,0,0.8,0.8,-0.8,9,13,7,1,20
2425,Chelsea,Axel Disasi,FRA,DF,26-249,1998,1.0,64,74,86.5,1011,433,33,35,94.3,26,28,92.9,4,8,50.0,0,0.0,0.0,0.0,0,2,0,0,5
2425,Chelsea,Benoît Badiashile,FRA,DF,23-234,2001,0.4,42,43,97.7,851,215,10,10,100.0,26,27,96.3,5,5,100.0,0,0.0,0.0,0.0,0,2,0,0,3
